location,job_count
Bengaluru,2503
Remote,2009
Gurugram,1886
Noida,1822
Mumbai,1748
Germany,1498
Singapore,1490
Canada,1488
UK,1485
India,1469
USA,1459
Australia,1454
Pune,1440
Chennai,1363
Ahmedabad,1098
Kolkata,765
"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",647
"Mumbai, Kolkata, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",466
New Delhi,357
"Chennai, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Bengaluru",323
Hybrid - Bengaluru,204
"Pune, Kolkata, Mumbai, New Delhi, Hyderabad, Chennai, Bengaluru",198
"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru",189
Navi Mumbai,174
"Chennai, Hyderabad, Bengaluru",168
Mumbai (All Areas),156
Hybrid - Pune,121
"Hybrid - Chennai, Hyderabad, Bengaluru",116
Hybrid - Chennai,94
"Hybrid - Pune, Hyderabad, Bengaluru",86
"Chennai, Pune, Bengaluru",84
Hybrid - Gurugram,82
"Pune, Hyderabad, Bengaluru",81
"Chennai, Bengaluru",77
"Hyderabad, Chennai, Bengaluru",75
"Pune, Chennai, Bengaluru",68
"Hybrid - Hyderabad, Pune, Bengaluru",63
"Hybrid - Hyderabad, Chennai, Bengaluru",56
Hybrid - Noida,55
Hyderabad,52
"Hyderabad, Pune, Bengaluru",50
"Hybrid - Chennai, Pune, Bengaluru",48
"Hybrid - Gurugram, Bengaluru",45
"Hybrid - Pune, Chennai, Bengaluru",45
"Hybrid - Pune, Gurugram, Bengaluru",45
"Hyderabad, Bengaluru",43
"Pune, Gurugram, Bengaluru",42
"Gurugram, Bengaluru",41
Delhi / NCR,40
"Hubli, Mangaluru, Mysuru, Bengaluru, Belgaum",38
"Mumbai, Nagpur, Thane, Nashik, Pune, Aurangabad",38
"Pune, Bengaluru",37
Greater Noida,37
"Ahmedabad, Jamnagar, Rajkot, Surat, Vadodara",37
"Hybrid - Hyderabad, Bengaluru",33
"Hybrid - Chennai, Bengaluru",33
Hybrid - Kolkata,33
Hybrid - Mumbai (All Areas),31
"Chennai, Hyderabad",30
